"ticker","perm_id","name"
"JBHT US","QNZYNF-S-US","J.B. Hunt Transport Services, Inc."
"HO FP","HQ927Y-S-FR","Thales SA"
"SAIC US","TMW8K0-S-US","Science Applications"
"SO US","H44KF1-S-US","Southern Company"
"SIVB US","JGZ7GY-S-US","SVB Financial Group"
"L US","VYPZ0B-S-US","Loews Corporation"
"ZS US","S1GFR5-S-US","Zscaler, Inc."
"GLEN LN","C4QD5D-S-GB","Glencore plc"
"CAP FP","DZ425C-S-FR","Capgemini SE"
"WU US","JBNF8C-S-US","Western Union Company"
"MA US","HLTYZF-S-US","Mastercard Incorporated Class A"
"MO US","BRWRT6-S-US","Altria Group Inc"
"6988 JP","RJ0QBK-S-JP","Nitto Denko Corp."
"MAN US","GKZ0R8-S-US","ManpowerGroup"
"WDC US","WK19ZQ-S-US","Western Digital Corporation"
"SCWX US","SH8W4J-S-US","Secureworks Corp. Cla"
"VMC US","KM5HS2-S-US","Vulcan Materials Company"
"CNR CN","NL8Q9M-S-CA","Canadian National Rai"
"TIF US","M2QXKL-S-US","Tiffany & Co."
"ZNGA US","SRCT6H-S-US","Zynga Inc. Class A"
"ISRG US","W7T9H9-S-US","Intuitive Surgical, Inc."
"FLIR US","QTDDXH-S-US","FLIR Systems, Inc."
"ALB US","C8SHKM-S-US","Albemarle Corporation"
"LUV US","MXVHMC-S-US","Southwest Airlines Co."
"PRGO US","JVBJCK-S-US","Perrigo Co. Plc"
"FANG US","DR9WKB-S-US","Diamondback Energy, Inc."
"FII US","D54FSD-S-US","Federated Investors, Inc. Class B"
"SHW US","DMY2HT-S-US","Sherwin-Williams Company"
"CSL AU","HSF8J2-S-AU","CSL Limited"
"GLW US","QWNLSC-S-US","Corning Inc"
"CSX US","NFMH78-S-US","CSX Corporation"
"LDO IM","PRMLJ5-S-IT","Leonardo SpA"
"MCD US","F1F0GY-S-US","McDonald's Corporation"
"DGX US","QPZXQH-S-US","Quest Diagnostics Incorporated"
"ULTA US","LTMSR1-S-US","Ulta Beauty Inc"
"LRCX US","N9757B-S-US","Lam Research Corporation"
"USB US","QQ57WH-S-US","U.S. Bancorp"
"COUP US","GLVKYS-S-US","Coupa Software, Inc."
"EV US","VBDMVT-S-US","Eaton Vance Corp."
"ANSS US","C0SZHB-S-US","ANSYS, Inc."
"APC US","PN3GCR-S-US","Anadarko Petroleum Corporation"
"CBS US","QCW7G3-S-US","CBS Corporation Class B"
"8591 JP","M890T3-S-JP","ORIX Corporation"
"VSH US","N17VK7-S-US","Vishay Intertechnolog"
"NEM US","P5BL31-S-US","Newmont Mining Corporation"
"MOS US","GW5WZK-S-US","Mosaic Company"
"NOVOB DC","JT6S2Y-S-DK","Novo Nordisk A/S Clas"
"PAYC US","X7YXN0-S-US","Paycom Software, Inc."
"UOB SP","GYG1SD-S-SG","United Overseas Bank"
"HLT US","PTYK86-S-US","Hilton Worldwide Holdings Inc"
"MKC US","DVR40W-S-US","McCormick & Company, Incorporated"
"NTCT US","PQCGXG-S-US","Netscout Systems, Inc"
"AES US","Q0KPX4-S-US","AES Corporation"
"HFC US","RCGDTY-S-US","HollyFrontier Corporation"
"BMY US","H547YV-S-US","Bristol-Myers Squibb Company"
"UHS US","JPY35J-S-US","Universal Health Services, Inc. Class B"
"ROL US","K8ZFZG-S-US","Rollins, Inc."
"ROK US","RCF8NW-S-US","Rockwell Automation, Inc."
